date_of_scrape,title,location,date
2024-03-23 08:00:54.296349,Mandy Patinkin in Concert: Being Alive,"Arlene Schnitzer Concert Hall, 1037 SW Broadway, Portland, OR","Today, 7:30 – 11:30 PM"
2024-03-23 08:00:54.296349,Ashley McBryde,"Roseland Theater, 8 NW 6th Ave, Portland, OR","Today, 8:00 – 9:30 PM"
2024-03-23 08:00:54.296349,Cmat concert à Portland,"Mississippi Studios, 3939 N Mississippi Ave, Portland, OR","Today, 8:00 – 9:30 PM"
2024-03-24 08:00:54.471111,Los Huracanes del Norte,"McMenamins Crystal Ballroom, 1332 W Burnside St, Portland, OR","Today, 7:00 – 8:30 PM"
2024-03-24 08:00:54.471111,Dadi Freyr,"Wonder Ballroom, 128 NE Russell St, Portland, OR","Today, 8:30 – 10:00 PM"
2024-03-24 08:00:54.471111,Kim Dracula,"Revolution Hall, 1300 SE Stark St #203, Portland, OR","Today, 7:30 – 9:00 PM"
2024-03-25 08:00:59.520233,Free Trivia Mondays at The Automatic Bar,"The Automatic Bar, 3652 SE Division St, Portland, OR","Today, 7 – 9 PM"
2024-03-25 08:00:59.520233,inglourious basterds,"Cinemagic, 2021 SE Hawthorne Blvd, Portland, OR","Today, 7 – 9 PM"
2024-03-25 08:00:59.520233,Life In Vacuum,"Mano Oculta, 1420 SE Powell Blvd, Portland, OR","Mon, Mar 25 – Tue, Mar 26"
2024-03-26 08:01:03.495261,Ladysmith Black Mambazo,"Aladdin Theater, 3017 SE Milwaukie Ave, Portland, OR","Today, 8:00 – 9:30 PM"
2024-03-26 08:01:03.495261,Gruff Rhys,"McMenamins Mission Theater, 1624 NW Glisan St, Portland, OR","Today, 8:00 – 9:30 PM"
2024-03-26 08:01:03.495261,Sir Chloe,"Wonder Ballroom, 128 NE Russell St, Portland, OR","Today, 7:00 – 9:30 PM"
2024-03-27 08:01:21.903826,Chelsea Wolfe concert à Portland,"Roseland Theater, 8 NW 6th Ave, Portland, OR","Today, 8:00 – 9:30 PM"
2024-03-27 08:01:21.903826,KMFDM,"Wonder Ballroom, 128 NE Russell St, Portland, OR","Today, 8:00 – 9:30 PM"
2024-03-27 08:01:21.903826,Madi Diaz,"The Get Down Music Venue, 615 SE Alder St Ste. B, Portland, OR","Today, 8 – 10 PM"
2024-03-28 08:01:08.273294,DC The Don,"The Bossanova Ballroom, 722 E Burnside St, Portland, OR","Today, 8:00 – 9:30 PM"
2024-03-28 08:01:08.273294,"Sir Chloe,","Wonder Ballroom, 128 NE Russell St, Portland, OR","Today, 7 – 8 PM"
2024-03-28 08:01:08.273294,Colin Meloy,"The Old Church Concert Hall, 1422 SW 11th Ave, Portland, OR","Thu, Mar 28 – Fri, Mar 29"
2024-03-29 08:02:32.483433,Danny Brown – Quaranta ’24 Tour,"Wonder Ballroom, 128 NE Russell St, Portland, OR","Fri, Mar 29 – Sat, Mar 30"
2024-03-29 08:02:32.483433,Laurie Anderson,"Keller Auditorium, 222 SW Clay St, Portland, OR","Today, 8:00 – 9:30 PM"
2024-03-29 08:02:32.483433,Santa Cruz Warriors at Rip City Remix,"Chiles Center, 5000 N Willamette Blvd, Portland, OR","Today, 6 – 8 PM"
2024-03-30 08:01:03.598485,Willow Pill,"Aladdin Theater, 3017 SE Milwaukie Ave, Portland, OR","Today, 8 – 9 PM"
2024-03-30 08:01:03.598485,Trivecta,"45 East, 315 SE 3rd Ave, Portland, OR","Today, 10:00 – 11:30 PM"
2024-03-30 08:01:03.598485,Big E & the Stomp - SATURDAY HH,"Laurelthirst Public House, 2958 NE Glisan St, Portland, OR","Today, 6 PM"
2024-03-31 08:01:24.120447,Natalie Jane concert à Portland,"Holocene, 1001 SE Morrison St, Portland, OR","Today, 8 – 11 PM"
2024-03-31 08:01:24.120447,Lydia Lunch,"Star Theater and Starlight Lounge, 13 NW 6th Ave, Portland, OR","Today, 6:30 – 8:00 PM"
2024-03-31 08:01:24.120447,Desert Room All-Stars,"McMenamins Al's Den, 303 SW 12th Ave, Portland, OR","Today, 7:00 – 8:30 PM"
2024-04-01 08:01:25.877168,Hannah Wicklund,"McMenamins Mission Theater, 1624 NW Glisan St, Portland, OR","Today, 8:30 – 10:00 PM"
2024-04-01 08:01:25.877168,Ural Thomas & the Pain - MONDAY HH,"Laurelthirst Public House, 2958 NE Glisan St, Portland, OR","Today, 6 PM"
2024-04-01 08:01:25.877168,ConCocktail - The Crafty Cocktail Competition,"Star Theater and Starlight Lounge, 13 NW 6th Ave, Portland, OR","Today, 9:00 – 10:30 PM"
2024-04-02 08:01:22.090949,Hippie Sabotage,"Roseland Theater, 8 NW 6th Ave, Portland, OR","Today, 9:00 – 10:30 PM"
2024-04-02 08:01:22.090949,Mike Doughty concert à Portland,"Mississippi Studios, 3939 N Mississippi Ave, Portland, OR","Tue, Apr 2 – Wed, Apr 3"
2024-04-02 08:01:22.090949,Sucker Punch Comedy,"Haymaker Bar, 1233 N Killingsworth St, Portland, OR","Today, 8:00 – 9:30 PM"
2024-04-03 08:01:16.742013,John Cleese,"Arlene Schnitzer Concert Hall, 1037 SW Broadway, Portland, OR","Today, 7:30 – 9:30 PM"
2024-04-03 08:01:16.742013,Lola Young,"Holocene, 1001 SE Morrison St, Portland, OR","Today, 8:00 – 9:30 PM"
2024-04-03 08:01:16.742013,Kublai Khan,"Roseland Theater, 8 NW 6th Ave, Portland, OR","Today, 6 – 9 PM"
2024-04-06 08:01:52.055689,Hatsune Miku Expo 2024 North America,"Keller Auditorium, 222 SW Clay St, Portland, OR","Today, 8:00 – 9:30 PM"
2024-04-06 08:01:52.055689,The Veronicas concert à Portland,"Aladdin Theater, 3017 SE Milwaukie Ave, Portland, OR","Today, 8:00 – 9:30 PM"
2024-04-06 08:01:52.055689,FATOUMATA DIAWARA,"Revolution Hall, 1300 SE Stark St #203, Portland, OR","Today, 8:00 – 9:30 PM"
2024-04-09 08:01:21.301372,Kronos Quartet,"Patricia Reser Center for the Arts, 12625 SW Crescent St, Beaverton, OR","Tue, Apr 9 – Wed, Apr 10"
2024-04-09 08:01:21.301372,"THE BECHDEL SET - An Inclusive, Feminist Comedy Show","Haymaker Bar, 1233 N Killingsworth St, Portland, OR","Today, 8 – 10 PM"
2024-04-09 08:01:21.301372,"Kyle Gordon, 21+","McMenamins Mission Theater, 1624 NW Glisan St, Portland, OR","Today, 8:30 – 11:30 PM"
2024-04-11 08:01:18.533711,Sleepy Hallow,"Roseland Theater, 8 NW 6th Ave, Portland, OR","Today, 8:00 – 9:30 PM"
2024-04-11 08:01:18.533711,Alice Phoebe Lou,"McMenamins Mission Theater, 1624 NW Glisan St, Portland, OR","Today, 8:00 – 9:30 PM"
2024-04-11 08:01:18.533711,Live Wire with Luke Burbank @ Alberta Rose Theatre,"Alberta Rose Theatre, 3000 NE Alberta St, Portland, OR","Thu, Apr 11 – Fri, Apr 12"
2024-04-13 08:00:57.109436,Kimberly Perry,"Ponderosa Lounge & Grill, 10350 N Vancouver Way, Portland, OR","Today, 9:00 – 10:30 PM"
2024-04-13 08:00:57.109436,Israel Vibration,"The Get Down Music Venue, 615 SE Alder St Ste. B, Portland, OR","Sat, Apr 13 – Sun, Apr 14"
2024-04-13 08:00:57.109436,Uli Jon Roth,"The Bossanova Ballroom, 722 E Burnside St, Portland, OR","Today, 7:30 – 9:00 PM"
2024-04-14 08:01:12.796745,Tina Fey & Amy Poehler,"Moda Center, 1 N Center Ct St, Portland, OR","Today, 6 – 10 PM"
2024-04-14 08:01:12.796745,Ruby Waters,"Polaris Hall, 635 N Killingsworth Ct, Portland, OR","Sun, Apr 14 – Mon, Apr 15"
2024-04-14 08:01:12.796745,Cindy Lee| Freak Heat Waves,"Mississippi Studios, 3939 N Mississippi Ave, Portland, OR","Today, 8 – 9 PM"
2024-04-16 08:01:11.671403,Depresion Sonora,"McMenamins Mission Theater, 1624 NW Glisan St, Portland, OR","Today, 8:00 – 9:30 PM"
2024-04-16 08:01:11.671403,Entradas Oregon Symphony: Drum Tao,"Arlene Schnitzer Concert Hall, 1037 SW Broadway, Portland, OR","Today, 7:30 – 9:00 PM"
2024-04-16 08:01:11.671403,Tinsley Ellis,"Polaris Hall, 635 N Killingsworth Ct, Portland, OR","Today, 8:00 – 9:30 PM"
